dataset:cora, hidden:64, lr:0.005, hop:1, belta:2.0, tau:0.2, meanmicro:0.6021256931608133 
dataset:cora, hidden:64, lr:0.005, hop:1, belta:2.0, tau:0.4, meanmicro:0.5845656192236599 
dataset:cora, hidden:64, lr:0.005, hop:1, belta:2.0, tau:0.6, meanmicro:0.5933456561922366 
dataset:cora, hidden:64, lr:0.005, hop:1, belta:2.0, tau:0.8, meanmicro:0.5711645101663586 
dataset:cora, hidden:64, lr:0.005, hop:1, belta:2.0, tau:1.0, meanmicro:0.577634011090573 
dataset:cora, hidden:64, lr:0.005, hop:1, belta:2.0, tau:1.2, meanmicro:0.571626617375231 
dataset:cora, hidden:64, lr:0.005, hop:1, belta:2.0, tau:1.4, meanmicro:0.5767097966728281 
dataset:cora, hidden:64, lr:0.005, hop:1, belta:2.0, tau:1.6, meanmicro:0.5697781885397412 
dataset:citeseer, hidden:64, lr:0.005, hop:1, belta:2.0, tau:0.2, meanmicro:0.5990990990990991 
dataset:citeseer, hidden:64, lr:0.005, hop:1, belta:2.0, tau:0.4, meanmicro:0.6066066066066066 
dataset:citeseer, hidden:64, lr:0.005, hop:1, belta:2.0, tau:0.6, meanmicro:0.625 
dataset:citeseer, hidden:64, lr:0.005, hop:1, belta:2.0, tau:0.8, meanmicro:0.6088588588588588 
dataset:citeseer, hidden:64, lr:0.005, hop:1, belta:2.0, tau:1.0, meanmicro:0.6081081081081081 
dataset:citeseer, hidden:64, lr:0.005, hop:1, belta:2.0, tau:1.2, meanmicro:0.618993993993994 
dataset:citeseer, hidden:64, lr:0.005, hop:1, belta:2.0, tau:1.4, meanmicro:0.6238738738738738 
dataset:citeseer, hidden:64, lr:0.005, hop:1, belta:2.0, tau:1.6, meanmicro:0.609984984984985 
dataset:chameleon, hidden:64, lr:0.005, hop:1, belta:2.0, tau:0.2, meanmicro:0.3589884551951622 
dataset:chameleon, hidden:64, lr:0.005, hop:1, belta:2.0, tau:0.4, meanmicro:0.34964266080263884 
dataset:chameleon, hidden:64, lr:0.005, hop:1, belta:2.0, tau:0.6, meanmicro:0.35349092908191315 
dataset:chameleon, hidden:64, lr:0.005, hop:1, belta:2.0, tau:0.8, meanmicro:0.3479934029686641 
dataset:chameleon, hidden:64, lr:0.005, hop:1, belta:2.0, tau:1.0, meanmicro:0.3738317757009346 
dataset:chameleon, hidden:64, lr:0.005, hop:1, belta:2.0, tau:1.2, meanmicro:0.348543155579989 
dataset:chameleon, hidden:64, lr:0.005, hop:1, belta:2.0, tau:1.4, meanmicro:0.360087960417812 
dataset:chameleon, hidden:64, lr:0.005, hop:1, belta:2.0, tau:1.6, meanmicro:0.36943375481033536 
dataset:squirrel, hidden:64, lr:0.005, hop:1, belta:2.0, tau:0.2, meanmicro:0.269887046383081 
dataset:squirrel, hidden:64, lr:0.005, hop:1, belta:2.0, tau:0.4, meanmicro:0.2617159336697909 
dataset:squirrel, hidden:64, lr:0.005, hop:1, belta:2.0, tau:0.6, meanmicro:0.2525835135784667 
dataset:squirrel, hidden:64, lr:0.005, hop:1, belta:2.0, tau:0.8, meanmicro:0.2686854121605383 
dataset:squirrel, hidden:64, lr:0.005, hop:1, belta:2.0, tau:1.0, meanmicro:0.25666906993511174 
dataset:squirrel, hidden:64, lr:0.005, hop:1, belta:2.0, tau:1.2, meanmicro:0.2677241047825042 
dataset:squirrel, hidden:64, lr:0.005, hop:1, belta:2.0, tau:1.4, meanmicro:0.24993991828887285 
dataset:squirrel, hidden:64, lr:0.005, hop:1, belta:2.0, tau:1.6, meanmicro:0.24681566931026194 
dataset:cornell, hidden:64, lr:0.005, hop:1, belta:2.0, tau:0.2, meanmicro:0.5810810810810811 
dataset:cornell, hidden:64, lr:0.005, hop:1, belta:2.0, tau:0.4, meanmicro:0.6283783783783784 
dataset:cornell, hidden:64, lr:0.005, hop:1, belta:2.0, tau:0.6, meanmicro:0.5472972972972974 
dataset:cornell, hidden:64, lr:0.005, hop:1, belta:2.0, tau:0.8, meanmicro:0.5202702702702703 
dataset:cornell, hidden:64, lr:0.005, hop:1, belta:2.0, tau:1.0, meanmicro:0.6351351351351352 
dataset:cornell, hidden:64, lr:0.005, hop:1, belta:2.0, tau:1.2, meanmicro:0.5540540540540541 
dataset:cornell, hidden:64, lr:0.005, hop:1, belta:2.0, tau:1.4, meanmicro:0.5675675675675675 
dataset:cornell, hidden:64, lr:0.005, hop:1, belta:2.0, tau:1.6, meanmicro:0.5270270270270271 
dataset:texas, hidden:64, lr:0.005, hop:1, belta:2.0, tau:0.2, meanmicro:0.6013513513513514 
dataset:texas, hidden:64, lr:0.005, hop:1, belta:2.0, tau:0.4, meanmicro:0.6216216216216217 
dataset:texas, hidden:64, lr:0.005, hop:1, belta:2.0, tau:0.6, meanmicro:0.5270270270270271 
dataset:texas, hidden:64, lr:0.005, hop:1, belta:2.0, tau:0.8, meanmicro:0.5472972972972974 
