dataset:cora, hidden:64, lr:0.005, hop:1, belta:2.0, tau:0.2, meanmicro:0.6621996303142329 
dataset:cora, hidden:64, lr:0.005, hop:1, belta:2.0, tau:0.4, meanmicro:0.6691312384473198 
dataset:cora, hidden:64, lr:0.005, hop:1, belta:2.0, tau:0.6, meanmicro:0.6654343807763401 
dataset:cora, hidden:64, lr:0.005, hop:1, belta:2.0, tau:0.8, meanmicro:0.6557301293900185 
dataset:cora, hidden:64, lr:0.005, hop:1, belta:2.0, tau:1.0, meanmicro:0.6446395563770795 
dataset:cora, hidden:64, lr:0.005, hop:1, belta:2.0, tau:1.2, meanmicro:0.6654343807763401 
dataset:cora, hidden:64, lr:0.005, hop:1, belta:2.0, tau:1.4, meanmicro:0.6589648798521257 
dataset:cora, hidden:64, lr:0.005, hop:1, belta:2.0, tau:1.6, meanmicro:0.6608133086876156 
dataset:citeseer, hidden:64, lr:0.005, hop:1, belta:2.0, tau:0.2, meanmicro:0.6197447447447447 
dataset:citeseer, hidden:64, lr:0.005, hop:1, belta:2.0, tau:0.4, meanmicro:0.6122372372372372 
dataset:citeseer, hidden:64, lr:0.005, hop:1, belta:2.0, tau:0.6, meanmicro:0.6257507507507507 
dataset:citeseer, hidden:64, lr:0.005, hop:1, belta:2.0, tau:0.8, meanmicro:0.5998498498498498 
dataset:citeseer, hidden:64, lr:0.005, hop:1, belta:2.0, tau:1.0, meanmicro:0.6133633633633634 
dataset:citeseer, hidden:64, lr:0.005, hop:1, belta:2.0, tau:1.2, meanmicro:0.615990990990991 
dataset:citeseer, hidden:64, lr:0.005, hop:1, belta:2.0, tau:1.4, meanmicro:0.585960960960961 
dataset:citeseer, hidden:64, lr:0.005, hop:1, belta:2.0, tau:1.6, meanmicro:0.6186186186186187 
dataset:chameleon, hidden:64, lr:0.005, hop:1, belta:2.0, tau:0.2, meanmicro:0.34964266080263884 
dataset:chameleon, hidden:64, lr:0.005, hop:1, belta:2.0, tau:0.4, meanmicro:0.3342495876855415 
