dataset:cora, hidden:64, lr:0.005, hop:1, belta:2.0, tau:0.2, meanmicro:0.7615526802218114 
dataset:cora, hidden:64, lr:0.005, hop:1, belta:2.0, tau:0.4, meanmicro:0.7791127541589649 
dataset:cora, hidden:64, lr:0.005, hop:1, belta:2.0, tau:0.6, meanmicro:0.7966728280961183 
dataset:cora, hidden:64, lr:0.005, hop:1, belta:2.0, tau:0.8, meanmicro:0.8017560073937153 
dataset:cora, hidden:64, lr:0.005, hop:1, belta:2.0, tau:1.0, meanmicro:0.7994454713493531 
dataset:cora, hidden:64, lr:0.005, hop:1, belta:2.0, tau:1.2, meanmicro:0.7920517560073937 
dataset:cora, hidden:64, lr:0.005, hop:1, belta:2.0, tau:1.4, meanmicro:0.7920517560073937 
dataset:cora, hidden:64, lr:0.005, hop:1, belta:2.0, tau:1.6, meanmicro:0.7980591497227356 
dataset:citeseer, hidden:64, lr:0.005, hop:1, belta:2.0, tau:0.2, meanmicro:0.7102102102102102 
dataset:citeseer, hidden:64, lr:0.005, hop:1, belta:2.0, tau:0.4, meanmicro:0.7094594594594594 
dataset:citeseer, hidden:64, lr:0.005, hop:1, belta:2.0, tau:0.6, meanmicro:0.7282282282282282 
dataset:citeseer, hidden:64, lr:0.005, hop:1, belta:2.0, tau:0.8, meanmicro:0.7233483483483484 
dataset:citeseer, hidden:64, lr:0.005, hop:1, belta:2.0, tau:1.0, meanmicro:0.7165915915915916 
dataset:citeseer, hidden:64, lr:0.005, hop:1, belta:2.0, tau:1.2, meanmicro:0.7237237237237237 
dataset:citeseer, hidden:64, lr:0.005, hop:1, belta:2.0, tau:1.4, meanmicro:0.704954954954955 
dataset:citeseer, hidden:64, lr:0.005, hop:1, belta:2.0, tau:1.6, meanmicro:0.7158408408408409 
dataset:chameleon, hidden:64, lr:0.005, hop:1, belta:2.0, tau:0.2, meanmicro:0.33919736118746563 
dataset:chameleon, hidden:64, lr:0.005, hop:1, belta:2.0, tau:0.4, meanmicro:0.38262781748213304 
dataset:chameleon, hidden:64, lr:0.005, hop:1, belta:2.0, tau:0.6, meanmicro:0.39802089059923035 
dataset:chameleon, hidden:64, lr:0.005, hop:1, belta:2.0, tau:0.8, meanmicro:0.4183617372182518 
dataset:chameleon, hidden:64, lr:0.005, hop:1, belta:2.0, tau:1.0, meanmicro:0.42495876855415066 
dataset:chameleon, hidden:64, lr:0.005, hop:1, belta:2.0, tau:1.2, meanmicro:0.40571742715777903 
dataset:chameleon, hidden:64, lr:0.005, hop:1, belta:2.0, tau:1.4, meanmicro:0.3881253435953821 
dataset:chameleon, hidden:64, lr:0.005, hop:1, belta:2.0, tau:1.6, meanmicro:0.41341396371632766 
dataset:squirrel, hidden:64, lr:0.005, hop:1, belta:2.0, tau:0.2, meanmicro:0.25378514780100936 
dataset:squirrel, hidden:64, lr:0.005, hop:1, belta:2.0, tau:0.4, meanmicro:0.2494592645998558 
dataset:squirrel, hidden:64, lr:0.005, hop:1, belta:2.0, tau:0.6, meanmicro:0.26748377793799566 
dataset:squirrel, hidden:64, lr:0.005, hop:1, belta:2.0, tau:0.8, meanmicro:0.250901225666907 
dataset:squirrel, hidden:64, lr:0.005, hop:1, belta:2.0, tau:1.0, meanmicro:0.2511415525114155 
dataset:squirrel, hidden:64, lr:0.005, hop:1, belta:2.0, tau:1.2, meanmicro:0.2535448209565008 
dataset:squirrel, hidden:64, lr:0.005, hop:1, belta:2.0, tau:1.4, meanmicro:0.25306416726748376 
dataset:squirrel, hidden:64, lr:0.005, hop:1, belta:2.0, tau:1.6, meanmicro:0.2540254746455179 
dataset:cornell, hidden:64, lr:0.005, hop:1, belta:2.0, tau:0.2, meanmicro:0.5945945945945946 
