dataset:Photo, net:GCN,  trainrate:0.2 ,  testacc:0.9159407665505227 
dataset:Photo, net:FAGCN,  trainrate:0.2 ,  testacc:0.8869773519163763 
dataset:Photo, net:BernNet,  trainrate:0.2 ,  testacc:0.9383710801393729 
dataset:Photo, net:CMPGNN,  trainrate:0.2 ,  testacc:0.9335801393728222 
dataset:wisconsin, net:GCN,  trainrate:0.1 ,  testacc:0.38636363636363635 
dataset:wisconsin, net:FAGCN,  trainrate:0.1 ,  testacc:0.5568181818181819 
dataset:wisconsin, net:BernNet,  trainrate:0.1 ,  testacc:0.5113636363636364 
dataset:wisconsin, net:CMPGNN,  trainrate:0.1 ,  testacc:0.6420454545454546 
dataset:chameleon, net:GCN,  trainrate:0.1 ,  testacc:0.5734924623115578 
dataset:chameleon, net:FAGCN,  trainrate:0.1 ,  testacc:0.5270100502512562 
dataset:chameleon, net:BernNet,  trainrate:0.1 ,  testacc:0.457286432160804 
dataset:chameleon, net:CMPGNN,  trainrate:0.1 ,  testacc:0.5753768844221105 
dataset:Photo, net:GCN,  trainrate:0.2 ,  testacc:0.9237804878048781 
dataset:cora, net:FAGCN,  trainrate:0.2 ,  testacc:0.8629379225568531 
dataset:cora, net:BernNet,  trainrate:0.2 ,  testacc:0.8574062692071296 
dataset:cora, net:CMPGNN,  trainrate:0.2 ,  testacc:0.8555623847572218 
dataset:cora, net:GCN,  trainrate:0.2 ,  testacc:0.8506453595574677 
dataset:chameleon, net:CMPGNN,  trainrate:0.1 ,  testacc:0.5772613065326633 
dataset:cora, net:CMPGNN,  trainrate:0.1 ,  testacc:0.8346539883782357 
dataset:cora, net:CMPGNN,  trainrate:0.1 ,  testacc:0.8489170628631801 
